model,feature_count,precision,recall,f1,roc_auc,pr_auc,fpr
Model A: Behavioral Static Baseline,2,0.09717807137251497,0.4038983050847458,0.15655295402405306,0.6126549549390734,0.23474464393405264,0.23666628982295884
Model B: Behavioral Trajectory,4,0.1223646370770636,0.30966101694915255,0.17491900760599938,0.600536987752835,0.22139991310906976,0.14266941008885975
Model C: Static Network,1,0.34754335285228993,0.7308474576271187,0.4699166313502789,0.8656190932143989,0.5941494286781628,0.08739186469803514
Model D: Network Evolution,6,0.710518769328558,0.7409039548022599,0.7239996622173352,0.8730748918107263,0.7661611402589135,0.019347457435503198
Model E: Behavioral + Network Evolution,10,0.781807691002274,0.8650282485875707,0.820541019627887,0.9738263111063251,0.9039444607745626,0.01530965247473263
