,0,1
volume_delta_t1_t2,129.4457337303275,360.1043288590604
refund_delta_t1_t2,0.00722361539279417,0.04947036296307414
network_growth_t1_t2,1.2596767333049765,3.4060402684563758
device_churn_t1_t2,0.176095278604849,0.2779642058165548
ip_churn_t1_t2,0.12182759109598754,0.40268456375838924
volume_delta_t2_t3,352.3951297320289,311.0257718120805
refund_delta_t2_t3,0.00408738269123568,0.058160215969967594
network_growth_t2_t3,-0.07379838366652489,-0.7013422818791947
device_churn_t2_t3,0.17694598043385792,0.23713646532438482
ip_churn_t2_t3,0.09247837799517936,0.35514541387024606
volume_static_t3,1381.3965185027648,1354.5402684563758
refund_rate_static_t3,0.047140716766404994,0.15006776015704187
network_size_static_t3,2.5342407486176097,4.214765100671141
